,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
399,Johns Hopkins University,COURSE,4.8,Mixed,240k
400,Universidad Nacional Autónoma de México,SPECIALIZATION,4.7,Beginner,43k
401,Pontificia Universidad Católica de Chile,COURSE,4.8,Mixed,62k
402,University of Colorado Boulder,COURSE,4.2,Intermediate,7.4k
403,University of Florida,COURSE,4.6,Mixed,39k
404,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,8.1k
405,"University of California, Davis",SPECIALIZATION,4.5,Intermediate,5.4k
406,University of Pennsylvania,SPECIALIZATION,4.7,Intermediate,1.7k
407,University of Minnesota,SPECIALIZATION,4.4,Beginner,36k
408,Rutgers the State University of New Jersey,SPECIALIZATION,4.6,Beginner,5.5k
409,Northwestern University,COURSE,4.8,Mixed,46k
410,University of Colorado System,SPECIALIZATION,4.7,Beginner,5.5k
411,ESSEC Business School,SPECIALIZATION,4.6,Beginner,28k
412,University of Virginia,COURSE,4.8,Intermediate,170k
413,The State University of New York,COURSE,3.3,Mixed,140k
414,Michigan State University,SPECIALIZATION,4.1,Beginner,34k
415,University of Minnesota,SPECIALIZATION,4.7,Beginner,98k
416,IBM,PROFESSIONAL CERTIFICATE,4.6,Intermediate,140k
417,IBM,SPECIALIZATION,4.4,Advanced,3.5k
418,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,220k
419,IBM,COURSE,4.8,Beginner,3.3k
420,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,480k
421,IBM,SPECIALIZATION,4.5,Beginner,35k
422,Google,COURSE,4.8,Beginner,62k
423,(ISC)²,COURSE,4.9,Beginner,1.7k
424,IE Business School,SPECIALIZATION,4.7,Beginner,23k
425,Automation Anywhere,SPECIALIZATION,4.6,Beginner,2.2k
426,Georgia Institute of Technology,SPECIALIZATION,4.7,Beginner,610k
427,deeplearning.ai,COURSE,4.9,Beginner,270k
428,Luther College at the University of Regina,SPECIALIZATION,4.4,Beginner,18k
429,The Museum of Modern Art,COURSE,4.9,Beginner,79k
430,University of Alberta,COURSE,4.8,Mixed,51k
431,Google Cloud,COURSE,4.5,Beginner,34k
432,Imperial College London,SPECIALIZATION,5.0,Intermediate,1.6k
433,Rutgers the State University of New Jersey,COURSE,4.4,Intermediate,12k
434,Macquarie University,SPECIALIZATION,4.8,Beginner,22k
435,"Royal Holloway, University of London",COURSE,4.6,Beginner,32k
436,New York University,SPECIALIZATION,4.6,Beginner,10k
437,University of Minnesota,SPECIALIZATION,4.7,Beginner,16k
438,"University of California, Irvine",COURSE,4.7,Mixed,180k
439,Erasmus University Rotterdam,COURSE,4.6,Beginner,40k
440,The University of Sydney,COURSE,4.8,Beginner,10k
441,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Beginner,25k
442,HEC Paris,SPECIALIZATION,4.5,Beginner,72k
443,Case Western Reserve University,SPECIALIZATION,4.7,Intermediate,97k
444,University of Michigan,COURSE,4.8,Mixed,85k
445,University of Illinois at Urbana-Champaign,COURSE,4.2,Mixed,12k
446,University of Michigan,COURSE,4.6,Intermediate,9.7k
